lower_x,upper_x,lower_y,upper_y
40.4330141335,41.3373858665,28.7603444125,29.6586555875
40.2748141335,41.1791858665,-74.4329555875,-73.5346444125
40.6610141335,41.5653858665,-83.6429555875,-82.7446444125
-30.4796858665,-29.5753141335,-51.6315555875,-50.7332444125
5.83790413352,6.74227586648,99.2796444125,100.177955587
53.5698141335,54.4741858665,-1.4514555875,-0.553144412504
37.6468141335,38.5511858665,139.753844413,140.652155587
-6.75870586648,-5.85433413352,106.388844413,107.287155587
-7.11143586648,-6.20706413352,106.410844413,107.309155587
-6.62390586648,-5.71953413352,106.362844413,107.261155587
