lower_x,upper_x,lower_y,upper_y
40.8829390707,40.8874609293,29.2072542221,29.2117457779
40.7247390707,40.7292609293,-73.9860457779,-73.9815542221
41.1109390707,41.1154609293,-83.1960457779,-83.1915542221
-30.0297609293,-30.0252390707,-51.1846457779,-51.1801542221
6.28782907067,6.29235092933,99.7265542221,99.7310457779
54.0197390707,54.0242609293,-1.00454577794,-1.00005422206
38.0967390707,38.1012609293,140.200754222,140.205245778
-6.30878092933,-6.30425907067,106.835754222,106.840245778
-6.66151092933,-6.65698907067,106.857754222,106.862245778
-6.17398092933,-6.16945907067,106.809754222,106.814245778
