lower_x,upper_x,lower_y,upper_y
40.8761562827,40.8942437173,29.2005168883,29.2184831117
40.7179562827,40.7360437173,-73.9927831117,-73.9748168883
41.1041562827,41.1222437173,-83.2027831117,-83.1848168883
-30.0365437173,-30.0184562827,-51.1913831117,-51.1734168883
6.28104628267,6.29913371733,99.7198168883,99.7377831117
54.0129562827,54.0310437173,-1.01128311175,-0.99331688825
38.0899562827,38.1080437173,140.194016888,140.211983112
-6.31556371733,-6.29747628267,106.829016888,106.846983112
-6.66829371733,-6.65020628267,106.851016888,106.868983112
-6.18076371733,-6.16267628267,106.803016888,106.820983112
