lower_x,upper_x,lower_y,upper_y
40.7947628267,40.9756371733,29.1196688825,29.2993311175
40.6365628267,40.8174371733,-74.0736311175,-73.8939688825
41.0227628267,41.2036371733,-83.2836311175,-83.1039688825
-30.1179371733,-29.9370628267,-51.2722311175,-51.0925688825
6.1996528267,6.3805271733,99.6389688825,99.8186311175
53.9315628267,54.1124371733,-1.0921311175,-0.912468882501
38.0085628267,38.1894371733,140.113168883,140.292831117
-6.3969571733,-6.2160828267,106.748168883,106.927831117
-6.7496871733,-6.5688128267,106.770168883,106.949831117
-6.2621571733,-6.0812828267,106.722168883,106.901831117
