lower_x,upper_x,lower_y,upper_y
40.8842956283,40.8861043717,29.2086016888,29.2103983112
40.7260956283,40.7279043717,-73.9846983112,-73.9829016888
41.1122956283,41.1141043717,-83.1946983112,-83.1929016888
-30.0284043717,-30.0265956283,-51.1832983112,-51.1815016888
6.28918562827,6.29099437173,99.7279016888,99.7296983112
54.0210956283,54.0229043717,-1.00319831117,-1.00140168883
38.0980956283,38.0999043717,140.202101689,140.203898311
-6.30742437173,-6.30561562827,106.837101689,106.838898311
-6.66015437173,-6.65834562827,106.859101689,106.860898311
-6.17262437173,-6.17081562827,106.811101689,106.812898311
