lower_x,upper_x,lower_y,upper_y
40.8806781413,40.8897218587,29.2050084441,29.2139915559
40.7224781413,40.7315218587,-73.9882915559,-73.9793084441
41.1086781413,41.1177218587,-83.1982915559,-83.1893084441
-30.0320218587,-30.0229781413,-51.1868915559,-51.1779084441
6.28556814134,6.29461185866,99.7243084441,99.7332915559
54.0174781413,54.0265218587,-1.00679155587,-0.997808444125
38.0944781413,38.1035218587,140.198508444,140.207491556
-6.31104185866,-6.30199814134,106.833508444,106.842491556
-6.66377185866,-6.65472814134,106.855508444,106.864491556
-6.17624185866,-6.16719814134,106.807508444,106.816491556
