lower_x,upper_x,lower_y,upper_y
40.6591070668,41.1112929332,28.9849222063,29.4340777937
40.5009070668,40.9530929332,-74.2083777937,-73.7592222063
40.8871070668,41.3392929332,-83.4183777937,-82.9692222063
-30.2535929332,-29.8014070668,-51.4069777937,-50.9578222063
6.06399706676,6.51618293324,99.5042222063,99.9533777937
53.7959070668,54.2480929332,-1.22687779375,-0.777722206252
37.8729070668,38.3250929332,139.978422206,140.427577794
-6.53261293324,-6.08042706676,106.613422206,107.062577794
-6.88534293324,-6.43315706676,106.635422206,107.084577794
-6.39781293324,-5.94562706676,106.587422206,107.036577794
