lower_x,upper_x,lower_y,upper_y
40.8847478141,40.8856521859,29.2090508444,29.2099491556
40.7265478141,40.7274521859,-73.9842491556,-73.9833508444
41.1127478141,41.1136521859,-83.1942491556,-83.1933508444
-30.0279521859,-30.0270478141,-51.1828491556,-51.1819508444
6.28963781413,6.29054218587,99.7283508444,99.7292491556
54.0215478141,54.0224521859,-1.00274915559,-1.00185084441
38.0985478141,38.0994521859,140.202550844,140.203449156
-6.30697218587,-6.30606781413,106.837550844,106.838449156
-6.65970218587,-6.65879781413,106.859550844,106.860449156
-6.17217218587,-6.17126781413,106.811550844,106.812449156
