lower_x,upper_x,lower_y,upper_y
40.8399814134,40.9304185866,29.1645844413,29.2544155587
40.6817814134,40.7722185866,-74.0287155587,-73.9388844413
41.0679814134,41.1584185866,-83.2387155587,-83.1488844413
-30.0727185866,-29.9822814134,-51.2273155587,-51.1374844413
6.24487141335,6.33530858665,99.6838844413,99.7737155587
53.9767814134,54.0672185866,-1.04721555875,-0.95738444125
38.0537814134,38.1442185866,140.158084441,140.247915559
-6.35173858665,-6.26130141335,106.793084441,106.882915559
-6.70446858665,-6.61403141335,106.815084441,106.904915559
-6.21693858665,-6.12650141335,106.767084441,106.856915559
